m,TagName,
"2010-12-01 00:00:00","java","5677"
"2010-12-01 00:00:00","javascript","4951"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5385"
"2010-12-01 00:00:00","python","2481"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1459"
"2011-01-01 00:00:00","c#","7981"
"2011-01-01 00:00:00","c++","3488"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6537"
"2011-01-01 00:00:00","javascript","5416"
"2011-01-01 00:00:00","perl","478"
"2011-01-01 00:00:00","php","6417"
"2011-01-01 00:00:00","python","2901"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1635"
"2011-02-01 00:00:00","c#","8220"
"2011-02-01 00:00:00","c++","3442"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6870"
"2011-02-01 00:00:00","javascript","5587"
"2011-02-01 00:00:00","perl","482"
"2011-02-01 00:00:00","php","6706"
"2011-02-01 00:00:00","python","3011"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9985"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8473"
"2011-03-01 00:00:00","javascript","6768"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8098"
"2011-03-01 00:00:00","python","3747"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2038"
"2011-04-01 00:00:00","c#","9279"
"2011-04-01 00:00:00","c++","4163"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7897"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","perl","551"
"2011-04-01 00:00:00","php","7649"
"2011-04-01 00:00:00","python","3340"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","10012"
"2011-05-01 00:00:00","c++","3880"
"2011-05-01 00:00:00","delphi","474"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8565"
"2011-05-01 00:00:00","javascript","7312"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8101"
"2011-05-01 00:00:00","python","3512"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1566"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1762"
"2011-06-01 00:00:00","c#","9758"
"2011-06-01 00:00:00","c++","3809"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7909"
"2011-06-01 00:00:00","javascript","7682"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8037"
"2011-06-01 00:00:00","python","3467"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9609"
"2011-07-01 00:00:00","c++","3850"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8158"
"2011-07-01 00:00:00","javascript","8112"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8687"
"2011-07-01 00:00:00","python","3662"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","ruby","1584"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","160"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10069"
"2011-08-01 00:00:00","c++","3953"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8684"
"2011-08-01 00:00:00","javascript","8909"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","php","8931"
"2011-08-01 00:00:00","python","3827"
"2011-08-01 00:00:00","r","587"
"2011-08-01 00:00:00","ruby","1859"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9307"
"2011-09-01 00:00:00","c++","3945"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8328"
"2011-09-01 00:00:00","javascript","8196"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8076"
"2011-09-01 00:00:00","python","3518"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1548"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9228"
"2011-10-01 00:00:00","c++","4355"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8563"
"2011-10-01 00:00:00","javascript","8039"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","8078"
"2011-10-01 00:00:00","python","3625"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","ruby","1616"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","210"
"2011-11-01 00:00:00","c","2197"
"2011-11-01 00:00:00","c#","9913"
"2011-11-01 00:00:00","c++","4483"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9651"
"2011-11-01 00:00:00","javascript","8693"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8692"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","607"
"2011-11-01 00:00:00","ruby","1739"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2004"
"2011-12-01 00:00:00","c#","9322"
"2011-12-01 00:00:00","c++","4360"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9211"
"2011-12-01 00:00:00","javascript","8342"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8346"
"2011-12-01 00:00:00","python","3621"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1684"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","c#","10456"
"2012-01-01 00:00:00","c++","4548"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10150"
"2012-01-01 00:00:00","javascript","9610"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9325"
"2012-01-01 00:00:00","python","4212"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1907"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","c#","10763"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10958"
"2012-02-01 00:00:00","javascript","9997"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9938"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2046"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2731"
"2012-03-01 00:00:00","c#","11602"
"2012-03-01 00:00:00","c++","5235"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12408"
"2012-03-01 00:00:00","javascript","10717"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10904"
"2012-03-01 00:00:00","python","5037"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2192"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2669"
"2012-04-01 00:00:00","c#","11132"
"2012-04-01 00:00:00","c++","5308"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12032"
"2012-04-01 00:00:00","javascript","10674"
"2012-04-01 00:00:00","perl","599"
"2012-04-01 00:00:00","php","10413"
"2012-04-01 00:00:00","python","4919"
"2012-04-01 00:00:00","r","841"
"2012-04-01 00:00:00","ruby","1970"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2483"
"2012-05-01 00:00:00","c#","11577"
"2012-05-01 00:00:00","c++","4990"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12184"
"2012-05-01 00:00:00","javascript","11526"
"2012-05-01 00:00:00","perl","643"
"2012-05-01 00:00:00","php","10935"
"2012-05-01 00:00:00","python","5101"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1978"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2309"
"2012-06-01 00:00:00","c#","11324"
"2012-06-01 00:00:00","c++","4650"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11103"
"2012-06-01 00:00:00","javascript","11235"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10583"
"2012-06-01 00:00:00","python","5278"
"2012-06-01 00:00:00","r","974"
"2012-06-01 00:00:00","ruby","1888"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2371"
"2012-07-01 00:00:00","c#","12316"
"2012-07-01 00:00:00","c++","5278"
"2012-07-01 00:00:00","delphi","440"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12248"
"2012-07-01 00:00:00","javascript","12311"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","php","11734"
"2012-07-01 00:00:00","python","5725"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","ruby","2060"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2317"
"2012-08-01 00:00:00","c#","11942"
"2012-08-01 00:00:00","c++","5161"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12252"
"2012-08-01 00:00:00","javascript","12432"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11887"
"2012-08-01 00:00:00","python","5860"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11272"
"2012-09-01 00:00:00","c++","4909"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11615"
"2012-09-01 00:00:00","javascript","11168"
"2012-09-01 00:00:00","perl","663"
"2012-09-01 00:00:00","php","10985"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1058"
"2012-09-01 00:00:00","ruby","1957"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3151"
"2012-10-01 00:00:00","c#","12715"
"2012-10-01 00:00:00","c++","5911"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13491"
"2012-10-01 00:00:00","javascript","12421"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11780"
"2012-10-01 00:00:00","python","6127"
